"Tipografía","Proveedor","URL","Licencia"
"Montserrat","DuckDuckGo","https://fonts.google.com/specimen/Montserrat","Desconocida"
"Lato","DuckDuckGo","https://fonts.google.com/specimen/Lato","Desconocida"
"Open Sans","DuckDuckGo","https://fonts.google.com/specimen/Open Sans","Desconocida"
"Oswald","DuckDuckGo","https://fonts.google.com/specimen/Oswald","Desconocida"
"Roboto","GitHub","https://github.com/fontlabcom/flexlab-font-ofl","Open Source (según repo)"
"Bebas Neue","DuckDuckGo","https://www.dafont.com/bebas-neue.font","Desconocida"
"Pacifico","DuckDuckGo","https://fonts.google.com/specimen/Pacifico","Desconocida"
"Libre Franklin","DuckDuckGo","https://fonts.google.com/specimen/Libre+Franklin","Desconocida"
"Sansita","DuckDuckGo","https://fonts.google.com/specimen/Sansita","Desconocida"
"Zona Pro","DuckDuckGo","https://www.dafontfree.io/zona-pro-free-font/","Desconocida"
"Propaganda Latinotype","DuckDuckGo","https://www.latinotype.com/","Desconocida"
